i,j,acf_peak_lag_samples,acf_peak_period_days,acf_peak_value,psd_peak_freq_cyc_per_day,psd_peak_period_days,psd_peak_power
130,488,1,0.125,0.9784152767115544,0.0027397260273972603,365.0,157.42989427720883
62,384,1,0.125,0.9810859887119855,0.0027397260273972603,365.0,149.31401902926564
91,656,1,0.125,0.9780672135475733,0.008219178082191782,121.66666666666666,236.39325701165765
139,290,1,0.125,0.9764364024916854,0.0027397260273972603,365.0,149.88005510827963
116,796,1,0.125,0.9804388786928675,0.008219178082191782,121.66666666666666,201.18455074585995
198,406,1,0.125,0.9835520845059478,0.0027397260273972603,365.0,116.52651334787139
49,111,1,0.125,0.983271209905926,0.0027397260273972603,365.0,223.34013526118352
133,135,1,0.125,0.9760863522014568,0.0027397260273972603,365.0,148.8924809128363
93,264,1,0.125,0.9764895892528954,0.008219178082191782,121.66666666666666,169.1264578260433
98,6,1,0.125,0.9787326899165756,0.008219178082191782,121.66666666666666,166.88100146433254
33,101,1,0.125,0.9952597155114683,0.0027397260273972603,365.0,908.0481228289374
135,23,1,0.125,0.9761642432950964,0.0027397260273972603,365.0,140.34300934635343
182,357,1,0.125,0.9822184661628081,0.0027397260273972603,365.0,107.35556956227435
16,645,1,0.125,0.9976611436245573,0.0027397260273972603,365.0,1883.205742101197
104,137,1,0.125,0.9775885917379749,0.008219178082191782,121.66666666666666,150.65820476628429
5,443,1,0.125,0.9958372345648544,0.0027397260273972603,365.0,2100.5413733922255
130,360,1,0.125,0.9767653542188375,0.0027397260273972603,365.0,157.60329073290674
1,257,1,0.125,0.9930810525729127,0.0027397260273972603,365.0,2199.036541004217
144,450,1,0.125,0.9769143580075165,0.0027397260273972603,365.0,145.30872997717614
56,299,1,0.125,0.9825677569861465,0.0027397260273972603,365.0,150.1959226230992
52,101,1,0.125,0.9823790908323808,0.0027397260273972603,365.0,186.7428311862575
187,636,1,0.125,0.9841692665006159,0.0,inf,108.73346774177129
107,77,1,0.125,0.97761798632916,0.008219178082191782,121.66666666666666,149.35018280224313
47,687,1,0.125,0.988238409185647,0.0027397260273972603,365.0,217.96684356635686
12,619,1,0.125,0.9975238776655753,0.0027397260273972603,365.0,1949.400558461444
188,313,1,0.125,0.9858860630205247,0.0027397260273972603,365.0,115.02179200620822
188,148,1,0.125,0.9848639048322291,0.0027397260273972603,365.0,144.90630104265256
122,701,1,0.125,0.9794740272945271,0.008219178082191782,121.66666666666666,172.1962773795443
75,563,1,0.125,0.9805679483677741,0.008219178082191782,121.66666666666666,211.6570348022831
51,457,1,0.125,0.9844634419818179,0.0027397260273972603,365.0,172.05676254280004
12,777,1,0.125,0.9976175416483783,0.0027397260273972603,365.0,1924.743235291859
152,12,1,0.125,0.9734000287732789,0.0027397260273972603,365.0,138.59702779627312
71,112,1,0.125,0.9783901375840621,0.008219178082191782,121.66666666666666,178.3084909250139
70,392,1,0.125,0.9802388413555482,0.0027397260273972603,365.0,166.25653169679535
53,615,1,0.125,0.984929095278808,0.0027397260273972603,365.0,181.29102227262194
31,534,1,0.125,0.9962139064404179,0.0027397260273972603,365.0,987.4936834650852
112,119,1,0.125,0.977123401848159,0.0027397260273972603,365.0,142.00358180008791
193,217,1,0.125,0.9862550261766515,0.0027397260273972603,365.0,140.6077116289416
193,273,1,0.125,0.9857350675520727,0.0027397260273972603,365.0,128.64964713229747
90,42,1,0.125,0.9784488776914884,0.008219178082191782,121.66666666666666,173.8872418131128
73,3,1,0.125,0.9772616350837553,0.008219178082191782,121.66666666666666,197.71300274379436
2,785,1,0.125,0.9939125566974751,0.0027397260273972603,365.0,2095.3254325671946
4,321,1,0.125,0.9952831167552211,0.0027397260273972603,365.0,2140.1552761954094
37,567,1,0.125,0.9934651536570669,0.0027397260273972603,365.0,501.9085876843726
27,678,1,0.125,0.9972806915025169,0.0027397260273972603,365.0,1286.08765594855
61,141,1,0.125,0.9809025170246233,0.008219178082191782,121.66666666666666,141.60289860330928
163,680,1,0.125,0.9807439596742159,0.0027397260273972603,365.0,139.50047910140538
72,174,1,0.125,0.9782844264430257,0.008219178082191782,121.66666666666666,170.95699061291285
35,797,1,0.125,0.9951945220364105,0.0027397260273972603,365.0,651.5701435926662
41,128,1,0.125,0.9904761409951737,0.0027397260273972603,365.0,391.1178690917401
10,277,1,0.125,0.9972733185867857,0.0027397260273972603,365.0,2056.5080032032897
55,447,1,0.125,0.9831160303442308,0.0027397260273972603,365.0,163.15339596171688
150,241,1,0.125,0.9755043702161181,0.0027397260273972603,365.0,139.3793002556614
43,474,1,0.125,0.9893438078812884,0.0027397260273972603,365.0,282.0942498306379
114,716,1,0.125,0.9789432854148047,0.008219178082191782,121.66666666666666,199.62927591432987
188,185,1,0.125,0.984845983958498,0.0027397260273972603,365.0,137.97664288880782
169,534,1,0.125,0.9789332091831644,0.0027397260273972603,365.0,114.1755231424232
16,629,1,0.125,0.9976411707334555,0.0027397260273972603,365.0,1886.901549021559
110,721,1,0.125,0.9787095642549251,0.008219178082191782,121.66666666666666,212.39480466553536
68,782,1,0.125,0.9847272786830837,0.008219178082191782,121.66666666666666,241.0900292981189
160,700,1,0.125,0.9799969894384042,0.0027397260273972603,365.0,144.10483817773434
149,277,1,0.125,0.9751754374754453,0.0027397260273972603,365.0,138.7477978606773
67,343,1,0.125,0.9799960545322826,0.0027397260273972603,365.0,152.11012724362973
197,571,1,0.125,0.9831484041447527,0.0,inf,100.78087736243833
3,133,1,0.125,0.9948081280982858,0.0027397260273972603,365.0,2195.054110782741
56,41,1,0.125,0.9817299570017279,0.008219178082191782,121.66666666666666,153.9638448658652
